stockid,year,catch,BdivBmsy,FdivFmsy
YFINCWPAC,2017,"707,866",2.59,0.37
YFINCWPAC,2018,"695,142",2.43,NA
YFINCWPAC,2019,"689,599",NA,NA
YFINCWPAC,2020,"722,042",NA,NA
YFINEIO,1950,4300,3.09,1.00E-02
YFINEIO,1951,4740,3.08,1.09E-02
YFINEIO,1952,8390,3.07,0.0122
YFINEIO,1953,11500,3.06,0.0134
YFINEIO,1954,27000,3.05,0.0205
YFINEIO,1955,50700,3.03,0.0325
YFINEIO,1956,66500,2.99,0.0399
YFINEIO,1957,40200,2.97,0.0292
YFINEIO,1958,31000,2.98,0.0251
YFINEIO,1959,30900,2.99,0.0243
YFINEIO,1960,44400,2.99,0.0282
YFINEIO,1961,42800,2.98,0.0301
YFINEIO,1962,56100,2.97,0.037
YFINEIO,1963,35400,2.97,0.0297
YFINEIO,1964,36000,2.97,0.0312
YFINEIO,1965,37400,2.97,0.0297
YFINEIO,1966,56900,2.97,0.0409
YFINEIO,1967,46500,2.95,0.0383
YFINEIO,1968,88400,2.93,0.0583
YFINEIO,1969,65200,2.91,0.0481
YFINEIO,1970,42500,2.92,0.0403
YFINEIO,1971,43500,2.93,0.0375
YFINEIO,1972,45200,2.94,0.049
YFINEIO,1973,41600,2.93,0.0564
YFINEIO,1974,45700,2.87,0.0588
YFINEIO,1975,47800,2.8,0.0616
YFINEIO,1976,51100,2.97,0.0731
YFINEIO,1977,74200,3.01,0.0934
YFINEIO,1978,64000,2.78,0.0736
YFINEIO,1979,56200,2.42,0.0727
YFINEIO,1980,53600,2.22,0.0841
YFINEIO,1981,59300,2.42,0.0859
YFINEIO,1982,70600,2.64,0.094
YFINEIO,1983,74100,2.57,0.0984
YFINEIO,1984,120000,2.55,0.145
YFINEIO,1985,135000,2.51,0.181
YFINEIO,1986,151000,2.61,0.193
YFINEIO,1987,168000,2.7,0.202
YFINEIO,1988,223000,2.46,0.25
YFINEIO,1989,213000,2.34,0.292
YFINEIO,1990,253000,2.36,0.282
YFINEIO,1991,245000,2.19,0.286
YFINEIO,1992,321000,1.97,0.427
YFINEIO,1993,402000,1.9,0.448
YFINEIO,1994,340000,1.73,0.544
YFINEIO,1995,353000,1.66,0.633
YFINEIO,1996,362000,1.59,0.578
YFINEIO,1997,357000,1.45,0.697
YFINEIO,1998,325000,1.42,0.532
YFINEIO,1999,370000,1.52,0.671
YFINEIO,2000,343000,1.6,0.597
YFINEIO,2001,322000,1.7,0.459
YFINEIO,2002,348000,1.66,0.504
YFINEIO,2003,456000,1.76,0.656
YFINEIO,2004,528000,1.8,0.763
YFINEIO,2005,511000,1.68,0.961
YFINEIO,2006,425000,1.48,0.941
YFINEIO,2007,324000,1.17,0.769
YFINEIO,2008,321000,0.817,0.802
YFINEIO,2009,267000,0.75,0.789
YFINEIO,2010,302000,0.926,0.883
YFINEIO,2011,327000,1.14,0.846
YFINEIO,2012,400000,1.07,0.933
YFINEIO,2013,405000,0.942,1.13
YFINEIO,2014,408000,0.906,1.02
YFINEIO,2015,402000,0.891,0.97
YFINEIO,2016,427000,0.89,1.03
YFINEIO,2017,422700,0.84,1.13
YFINEIO,2018,443000,0.83,1.34
YFINEIO,2019,"449,600",0.9,1.22
YFINEIO,2020,"432,623",0.78,1.27
