stockid,year,catch,BdivBmsy,FdivFmsy
ALBASPAC,1966,38661,6.67,0.07
ALBASPAC,1967,43957,6.9,0.08
ALBASPAC,1968,32382,7.22,0.07
ALBASPAC,1969,24805,7.47,0.06
ALBASPAC,1970,34925,7.08,0.06
ALBASPAC,1971,38630,6.44,0.07
ALBASPAC,1972,39521,6.04,0.08
ALBASPAC,1973,47330,5.62,0.08
ALBASPAC,1974,34049,4.95,0.1
ALBASPAC,1975,23600,4.77,0.08
ALBASPAC,1976,29082,4.81,0.082
ALBASPAC,1977,38740,4.56,0.07
ALBASPAC,1978,34676,4.4,0.08
ALBASPAC,1979,27076,4.3,0.1
ALBASPAC,1980,32541,4.26,0.1
ALBASPAC,1981,34784,3.78,0.06
ALBASPAC,1982,30788,3.68,0.08
ALBASPAC,1983,25092,4,0.09
ALBASPAC,1984,24704,4.41,0.11
ALBASPAC,1985,32328,4.69,0.07
ALBASPAC,1986,36590,4.48,0.08
ALBASPAC,1987,25052,4.4,0.1
ALBASPAC,1988,37867,4.2,0.08
ALBASPAC,1989,49076,3.95,0.07
ALBASPAC,1990,36062,3.47,0.1
ALBASPAC,1991,35600,3.57,0.1
ALBASPAC,1992,38668,3.75,0.11
ALBASPAC,1993,35438,3.55,0.12
ALBASPAC,1994,42318,4.1,0.27
ALBASPAC,1995,38475,3.97,0.17
ALBASPAC,1996,34402,3.99,0.14
ALBASPAC,1997,39490,4.4,0.13
ALBASPAC,1998,50575,4.23,0.12
ALBASPAC,1999,39674,4.1,0.16
ALBASPAC,2000,48461,3.84,0.13
ALBASPAC,2001,63690,4.25,0.12
ALBASPAC,2002,75274,4.01,0.12
ALBASPAC,2003,64137,3.68,0.12
ALBASPAC,2004,63514,3.54,0.16
ALBASPAC,2005,64754,3.5,0.18
ALBASPAC,2006,65439,3.29,0.14
ALBASPAC,2007,59370,3.15,0.273
ALBASPAC,2008,63503,3.3,0.25
ALBASPAC,2009,84414,2.9,0.2
ALBASPAC,2010,"90,849",3.39,0.2
ALBASPAC,2011,"66,465",3.2,0.25
ALBASPAC,2012,"89,884",3.03,0.18
ALBASPAC,2013,"87,982",2.86,0.23
ALBASPAC,2014,"82,842",3,0.2
ALBASPAC,2015,"83,609",3.2,0.21
ALBASPAC,2016,"72,512",3.19,0.22
ALBASPAC,2017,"94,504",3.12,0.31
ALBASPAC,2018,"83,359",2.84,0.32
ALBASPAC,2019,"86,083",2.46,0.32
ALBASPAC,2020,"71,949",NA,NA
BIGEYECWPAC,1950,18890,NA,NA
BIGEYECWPAC,1951,14632,NA,NA
BIGEYECWPAC,1952,27494,4.32,0.0341
BIGEYECWPAC,1953,26044,4.38,0.0322
BIGEYECWPAC,1954,18664,4.43,0.0244
BIGEYECWPAC,1955,29034,4.5,0.0353
BIGEYECWPAC,1956,33650,4.69,0.0391
BIGEYECWPAC,1957,40712,4.86,0.0535
BIGEYECWPAC,1958,50242,4.57,0.0736
BIGEYECWPAC,1959,42803,4.16,0.0678
BIGEYECWPAC,1960,45025,3.79,0.0756
BIGEYECWPAC,1961,39380,3.41,0.0736
BIGEYECWPAC,1962,36868,3.23,0.069
BIGEYECWPAC,1963,44346,3.07,0.0857
BIGEYECWPAC,1964,32380,2.94,0.0632
BIGEYECWPAC,1965,31329,2.89,0.0632
BIGEYECWPAC,1966,33152,2.8,0.0659
BIGEYECWPAC,1967,35909,2.71,0.0767
BIGEYECWPAC,1968,29869,2.68,0.0601
